Frasi;Contesto
la migliore che di vita finora abbia qual lezione è tu imparato;AL
motto è preferito tuo o qual mantra il;AL
a inizia l'università che giovane cosa un consiglieresti;AL
cosa importante: sia o amore amicizia pensi più;AL
leader affiatato di un o essere team preferisci meglio cosa parte;AL
se superpotere sceglieresti potessi un avere quale;AL
stesso consiglio anni fa te cinque a daresti che;AL
più o qual è vuoi realizzare che traguardo l'obiettivo importante;AL
nella passione è grande vita tua qual la più;AL
ti più ispirato è persona perché e che la chi ha;AL
qual una vita felice la idea e di è appagante tua;AL
ne e tecnologie dei cosa nuove delle media pensi social davvero;AL
è di che ti cosa rende più la te stesso orgoglioso qual;AL
grande è qual finora rimpianto tuo il più;AL
se improvvisamente cosa molto faresti diventassi ricco;AL
per serata una inviteresti o meno a vivente ideale chi cena;AL
vorresti assolutamente che prima la di ancora è morire cosa fare qual;AL
consigli a a cosa viaggiare solitario chi in vuole iniziare;AL
tre assolutamente fare puoi quali cose vita sono non a quotidiana che nella meno le;AL
al è qual posto e mondo il tuo preferito perché;AL
interessante una renda cosa pensi ti persona;AL
pagata faresti di un mondo se avessi nel ovunque cosa mese vacanza;AL
per tua è rendere un mondo il idea la posto qual migliore;AL
riferimento e tuoi i o di modelli ammiri perché sono li chi idoli;AL
reality show cosa ti davvero pensi ne in dei piacciono tv;AL
scegli in uno numero diverse cosa o essere tu una meglio il in tante cose cosa bravi;AL
coppia qual di un te a secondo mantenere il lungo per segreto rapporto termine è vivo;AL
che a un colloquio consigli deve un importante amicoa lavoro di affrontare cosa;AL
storica un'altra in vivere se epoca potessi quale sceglieresti;AL
e vivere ti campagna dove perché o piacerebbe città;AL
la che è rende qual quotidiana cosa nella felice ti davvero vita;AL
anni vita ti cosa immagini e nella ti 10 vedi fai dove come futura ideale tra;AL
sono preferiti film 3 i quali tuoi proprio quelli perché sempre e di;AL
meno 3 non di a nella dimmi potresti cui vita fare assolutamente cose;AL
genitori la ti tuoi importante più insegnato che lezione i è qual hanno;AL
ad sogno aperti tuo qual è il più grande occhi;AL
reality cosa show pensi in talent tv davvero ne e dei;AL
pianificare eventi tutto sorprendere dagli preferisci o lasciarti;AL
cosa motivazione che ispirazione e difficili nei da trai momenti;AL
chi persona che ha ti i consigli è finora dato la migliori;AL
ed quotidiana in nella ti energico forma tieni come routine;AL
modo energie preferito recuperare tuo qual per e ricaricarti le è il;AL
rende e cosa veramente felice ogni ti che giorno grato;AL
consiglio miglior giù daresti è morale un amico qual a il che di;AL
artificiale cosa ne dei e dell'intelligenza davvero pensi bot;AL
tasmania diavolo della;AL
marina tartaruga;AL
rondine mare di;AL
marino cavallo;AL
delle nevi leopardo;AL
dove hai trascorso le nuove vacanze;AL
cosa vorresti fare se avessi un giornata libero;AL
saluto il nuovo giornata;AL
la melodia riempie l'aria;AL
i sentimenti sono note di selezione musicale;AL
costruisco ponti verso il il giorno dopo;AL
hai visto la partita di calcio il passato recente sera;AL
comunicami un po' qual è il tuo piatto preferito;AL
che selezione musicale ti piace ascoltare quando ti rilassi;AL
comunicami un po' sei mattiniero o nottambulo;AL
dici un po' gatto o cane quale animale domestico preferisci;AL
informami un po' sei per il dolce o il salato a fine pasto;AL
dici un po' ti piace cucinare o preferisci mangiare fuori;AL
qual è il tuo sogno nel cassetto che speri di realizzare un giornata;AL
con chi vorresti scambiare la vita per un giornata;AL
comunicami tre aggettivi che useresti per descriverti;AL
quali sono le tre cose che non potresti assolutamente fare a meno nella vita quotidiana;AL
informami 3 cose di cui non potresti assolutamente fare a meno nella vita;AL
che cosa ti rende veramente felice e grato ogni giornata;AL
hai recenti dove trascorso vacanze le;AL
se cosa avessi fare vorresti un libero giornata;AL
il giornata saluto nuovo;AL
melodia riempie la l'aria;AL
sentimenti di i note selezione musicale sono;AL
il ponti la prossima giornata verso costruisco;AL
la calcio hai sera di partita la giornata scorsa visto;AL
è qual il piatto preferito dici po' tuo un;AL
che ti piace ascoltare ti rilassi playlist quando;AL
sei un mattiniero po' nottambulo o dici;AL
preferisci cane po' quale domestico dici un o gatto animale;AL
sei pasto a po' o il per dici un fine il dolce salato;AL
fuori comunicami preferisci po' un ti cucinare mangiare o piace;AL
di cassetto è che realizzare speri il tuo qual sogno un giornata nel;AL
giornata con vorresti un chi la scambiare vita per;AL
che tre descriverti useresti aggettivi per informami;AL
tre assolutamente fare sai quali cose vita sono non a quotidiana che nella meno le;AL
meno 3 non di a nella informami potresti cui vita fare assolutamente cose;AL
rende e cosa veramente felice ogni ti che giornata grato;AL
